Species,ID,Functional_Type,Tmass_wet,Tmass_dry
Acaexu,4,Tree,0.168,0.0529
Acaexu,5,Tree,0.1921,0.0597
Braspi,4,Tree,0.1681,0.0618
Acaxan,4,Tree,0.2117,0.0638
Acaxan,5,Tree,0.3802,0.107
Comapi,4,Tree,0.7639,0.2161
Comapi,5,Tree,0.8887,0.2815
Sclbir,6,Tree,2.2528,0.4356
Sclbir,4,Tree,2.1845,0.4813
Sclbir,5,Tree,3.201,0.6555
Trigra,6,Grass,0.0072,0.0006
Trigra,4,Grass,0.0091,0.0014
Pogsqu,4,Grass,0.0109,0.0015
Arimer,4,Grass,0.0038,0.0028
Pogsqu,5,Grass,0.0164,0.0029
Pogsqu,6,Grass,0.0123,0.0031
Aribar,5,Grass,0.006,0.0033
Chlvir,6,Grass,0.0074,0.0033
Perpat,6,Grass,0.0101,0.0034
Chlvir,5,Grass,0.0089,0.0041
Perpat,5,Grass,0.0147,0.0041
Erasup,4,Grass,0.0102,0.0042
Uromos,4,Grass,0.0294,0.0042
Uromos,5,Grass,0.0222,0.0043
Trimon,6,Grass,0.041,0.0049
Trigra,5,Grass,0.0203,0.0049
Aribar,6,Grass,0.0195,0.0055
Eragum,6,Grass,0.0156,0.0055
Melrep,4,Grass,0.0174,0.0055
Panmax,6,Grass,0.0208,0.0057
Aricon,6,Grass,0.0134,0.0062
Eragum,5,Grass,0.0147,0.0064
Panmax,4,Grass,0.0287,0.0065
Setsph,4,Grass,0.0431,0.0067
Setsph,6,Grass,0.0468,0.0072
Uromos,6,Grass,0.0368,0.0072
Erasup,5,Grass,0.0397,0.0073
Panmax,5,Grass,0.0228,0.0075
Perpat,4,Grass,0.0258,0.008
Aribar,4,Grass,0.0223,0.0093
Eragum,4,Grass,0.0255,0.0099
Melrep,6,Grass,0.0413,0.0101
Aricon,4,Grass,0.0304,0.0102
Chlvir,4,Grass,0.0336,0.0104
Aricon,5,Grass,0.025,0.0106
Eratri,6,Grass,0.0332,0.0113
Eratri,5,Grass,0.059,0.0118
Melrep,5,Grass,0.0525,0.0122
Setsph,5,Grass,0.0834,0.0132
Eratri,4,Grass,0.0442,0.0136
Thetri,6,Grass,0.0702,0.0156
Thetri,5,Grass,0.0571,0.0164
Trimon,4,Grass,0.1381,0.0191
Thetri,4,Grass,0.1112,0.0289
Erasup,6,Grass,0.091,0.0293
Trimon,5,Grass,0.2106,0.0357
