GWC,MPa
0.315708812,-0.11
0.320429768,-0.21
0.326755468,-0.18
0.293655589,-0.11
0.324389341,-0.1
0.266091954,-0.2
0.281561068,-0.19
0.294688374,-0.13
0.272507553,-0.13
0.30588453,-0.25
0.238888889,-0.16
0.250118502,-0.3
0.262621279,-0.15
0.180076628,-0.25
0.20113762,-0.17
0.235487584,-0.17
0.185649547,-0.17
0.204293116,-0.18
0.116091954,-0.38
0.148522673,-0.51
0.182535767,-0.27
0.133232628,-0.34
0.143042191,-0.31
0.009386973,-3.4
0.042818771,-1.1
0.082716658,-0.76
0.053323263,-0.63
0.057420429,-0.58
0.002490421,-40.19
0.027176489,-1.17
0.063476402,-0.5
0.029607251,-0.79
0.028312361,-0.91
0.010649392,-3.07
0.042789015,-0.82
0.001151126,-85.64
0.001057402,-82.72
0.031704981,-1.23
0.021519987,-1.88
0.01149482,-1.92
0.013942598,-1.48
0.010899334,-1.12
0.010862069,-1.91
0.014757466,-1.29
0.010031245,-2.36
0.011918429,-1.67
0.009548483,-1.91
0.01331964,-1.53
