Species,Functional_Type,RMR
Colmop,Tree,0.255681041
Colmop,Tree,0.260819655
Colmop,Tree,0.265962064
Colmop,Tree,0.27431105
Colmop,Tree,0.301229881
Comcol,Tree,0.537594824
Comcol,Tree,0.606704884
Comcol,Tree,0.607014166
Comcol,Tree,0.828940856
Comcol,Tree,0.917363769
Diccin,Tree,0.267746866
Diccin,Tree,0.279647579
Diccin,Tree,0.287895111
Diccin,Tree,0.404020004
Erasup,Grass,0.239790237
Erasup,Grass,0.254258919
Erasup,Grass,0.278672827
Erasup,Grass,0.404320697
Erasup,Grass,0.448215552
Panmax,Grass,0.14676415
Panmax,Grass,0.221150987
Panmax,Grass,0.228077957
Panmax,Grass,0.265346241
Panmax,Grass,0.337121044
Perpat,Grass,0.073214282
Perpat,Grass,0.077490613
Perpat,Grass,0.110134548
Perpat,Grass,0.211702885
Pogsqu,Grass,0.166666667
Pogsqu,Grass,0.212730882
Pogsqu,Grass,0.251423374
Pogsqu,Grass,0.313855499
Pogsqu,Grass,0.38564197
Sclbir,Tree,0.580468395
Sclbir,Tree,0.659343317
Sclbir,Tree,0.701229445
Sclbir,Tree,0.707689449
Hypdis,Grass,0.144879497
Hypdis,Grass,0.15634914
Hypdis,Grass,0.196022135
Hypdis,Grass,0.250720593
Hypdis,Grass,0.281477685
