UniqueID,Initial_mass,Water_added,Final_mass,Foil_mass,Adj_final_mass
Pogsqu02,4484.7,2939.7,4196.9,2.9,4194
Pogsqu03,4493.8,1708.6,4261.8,3.1,4258.7
Pogsqu04,4401.5,1691.3,4142.1,3,4139.1
Pogsqu05,4477.8,2201,4222.3,3.4,4218.9
Perpat01,4378.5,1240.6,4155.1,3.1,4152
Perpat02,4424.9,2226.4,4141.8,2.9,4138.9
Perpat03,4508.9,2487.1,4206.5,3.3,4203.2
Perpat04,4023.2,947.4,3890.6,3,3887.6
Perpat05,4225.2,882.4,4007.8,3,4004.8
Erasup01,4592.2,2941.2,4264.8,3,4261.8
Erasup04,4356,2242.7,3977,2.9,3974.1
Erasup05,4281.8,1573.4,3999.7,3.2,3996.5
Panmax01,4474.4,4168.8,4125.5,3.3,4122.2
Panmax02,4464.4,3354,4184.1,3.1,4181
Panmax03,4353.6,3979.4,4034.4,3.6,4030.8
Panmax04,4455.2,4506.4,4133.5,3.2,4130.3
Panmax05,4469.9,3949,4181.2,3.3,4177.9
Hypdis02,4519.3,4182,4124.1,3,4121.1
Hypdis03,4778.1,3815.5,4414.7,3.2,4411.5
Hypdis04,4463.1,3816.5,4069.8,3.1,4066.7
Hypdis05,4258.8,2313.4,3945.4,3.3,3942.1
Sclbir01,5021.6,4102.2,4562.6,3.2,4559.4
Sclbir02,4941.7,3459.4,4569.6,3.3,4566.3
Sclbir03,4520.5,2965.6,4156.7,3.4,4153.3
Sclbir04,4368.9,2848.1,3969.9,3.3,3966.6
Sclbir05,5133.1,4066.4,4694.6,3.2,4691.4
Sclbir06,4758.8,3298.4,4345.5,3,4342.5
Sclbir07,4945.1,3309.5,4536.4,3.5,4532.9
Sclbir08,4555.5,3656.5,4200,3,4197
Sclbir09,4730.9,4008.9,4306.8,3.2,4303.6
Sclbir10,4640.4,3347.5,4245.4,3.2,4242.2
Colmop01,4745.8,1591.3,4479.3,3.1,4476.2
Colmop02,4587.6,752.3,4387.9,4.4,4383.5
Colmop03,4627.7,1377.8,4394.6,3.4,4391.2
Colmop04,4421.2,1689.4,4179.6,3.5,4176.1
Colmop05,4567.2,1413.4,4327.8,2.9,4324.9
Colmop06,4837.7,1873.8,4567.3,3.3,4564
Colmop07,4594.2,2572.3,4313.5,2.9,4310.6
Colmop08,4621.2,1593.1,4379.6,3,4376.6
Comapi01,4427.1,3005.1,4063.7,2.9,4060.8
Comapi02,4652.7,3621.9,4268,3.3,4264.7
Terser01,4539.9,2870.2,4183.6,3.6,4180
Diccin01,4392.7,2990.3,3948.5,3,3945.5
Diccin02,4692.3,4009.9,4265.9,3.8,4262.1
Diccin03,4987.4,4404.1,4432.7,3.1,4429.6
Diccin04,4688,4530.6,4248.4,2.9,4245.5
Diccin05,4916.7,4055.1,4561.6,3.3,4558.3
Diccin06,4919.6,4755.3,4366,3.4,4362.6
Diccin07,4678,4438.6,4298.4,3,4295.4
Diccin08,4626.8,4065.2,4236.8,3.2,4233.6
